Name,Location,Area,Price
Room Juliana van Stolberglaan,            2595 CB Den Haag (Bezuidenhout-Midden)        ,35 m²,                €825 per month            
Apartment Beeklaan 17,            2562 AA Den Haag (Rond de Energiecentrale)        ,79 m²,"                €1,150 per month            "
Apartment Frederik Hendriklaan 207 2,            2582 CB Den Haag (Statenkwartier)        ,110 m²,"                €1,750 per month            "
Apartment Paul Gabriëlstraat 110,            2596 VH Den Haag (Van Hoytemastraat en omgeving)        ,130 m²,"                €2,500 per month            "
Apartment Groningsestraat,            2587 RJ Den Haag (Belgisch Park)        ,40 m²,"                €1,170 per month            "
Apartment Stadhoudersplantsoen,            2517 JL Den Haag (Zorgvliet)        ,40 m²,"                €2,500 per month            "
House Harderwijkstraat 347,            2573 ZK Den Haag (Oostbroek-Zuid)        ,71 m²,                €900 per month            
Apartment Van den Berghstraat 69,            2522 ZN Den Haag (Laakkwartier-Oost)        ,74 m²,"                €1,050 per month            "
Apartment Scheldeplein,            2515 TH Den Haag (Rivierenbuurt-Noord)        ,46 m²,                €750 per month            
Apartment Frederik Hendriklaan 207 I,            2582 CB Den Haag (Statenkwartier)        ,65 m²,"                €1,250 per month            "
Apartment Bazarstraat,            2518 AE Den Haag (Zeeheldenkwartier)        ,50 m²,"                €1,125 per month            "
Apartment Bazarstraat,            2518 AE Den Haag (Zeeheldenkwartier)        ,47 m²,"                €1,150 per month            "
Apartment Bazarstraat,            2518 AE Den Haag (Zeeheldenkwartier)        ,48 m²,"                €1,150 per month            "
Apartment Palaceplein,            2587 WE Den Haag (Belgisch Park)        ,75 m²,"                €1,295 per month            "
Apartment Laan Copes van Cattenburch,            2585 EX Den Haag (Archipelbuurt)        ,66 m²,"                €1,250 per month            "
Apartment Bazarstraat,            2518 AE Den Haag (Zeeheldenkwartier)        ,50 m²,"                €1,125 per month            "
Apartment Juliana van Stolberglaan,            2595 CR Den Haag (Bezuidenhout-Oost)        ,85 m²,"                €1,450 per month            "
Apartment Westeinde 199 D,            2512 GZ Den Haag (Kortenbos)        ,55 m²,"                €1,195 per month            "
Apartment Westeinde 197 D,            2512 GZ Den Haag (Kortenbos)        ,65 m²,"                €1,295 per month            "
Apartment Surinamestraat,            2585 GG Den Haag (Archipelbuurt)        ,114 m²,"                €2,500 per month            "
Apartment Gevers Deynootweg,            2586 BS Den Haag (Scheveningen Badplaats)        ,115 m²,"                €2,450 per month            "
Apartment Fahrenheitstraat 259,            2561 DV Den Haag (Valkenboskwartier)        ,63 m²,"                €1,250 per month            "
House Apendans,            2511 CZ Den Haag (Voorhout)        ,40 m²,                €880 per month            
House Ellertsveldlaan 99,            2548 ND Den Haag (Hoge Veld)        ,170 m²,"                €2,750 per month            "
Apartment Haagsestraat,            2587 TH Den Haag (Belgisch Park)        ,55 m²,"                €1,275 per month            "
Apartment Van Beverningkstraat,            2582 VG Den Haag (Statenkwartier)        ,200 m²,"                €3,500 per month            "
Apartment Bosschestraat 13,            2587 HA Den Haag (Belgisch Park)        ,117 m²,"                €1,650 per month            "
Apartment Vierloper,            2586 KT Den Haag (Scheveningen Badplaats)        ,60 m²,"                €1,200 per month            "
Apartment Benoordenhoutseweg 223,            2596 BE Den Haag (Van Hoytemastraat en omgeving)        ,104 m²,"                €2,150 per month            "
Apartment Bezuidenhoutseweg 65 28,            2594 AC Den Haag (Bezuidenhout-West)        ,100 m²,"                €1,875 per month            "
